generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.032,0,0.005,0
1000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.273268,0.04198,0.328567,0
2000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.285457,0.0233633,0.314392,0
3000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.236153,0.0507681,0.303081,0
4000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.353707,0.00892012,0.277591,0
5000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.267015,0.0223645,0.264813,0
6000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.224299,0.0515633,0.237952,0
7000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.239306,0.0367386,0.314958,0
8000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.387351,0.0221344,0.484896,0
9000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.382255,0.0433602,0.558239,0
9000,Scleria_tonkinensis_SC098,NA,39.8059,1.21107,-0.0294999,2.50444,0
10000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.305406,0.0188711,0.32665,0
11000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.296677,0.00987754,0.267443,0
12000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.262641,0.0224711,0.238826,0
13000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.26293,0.0111127,0.188818,0
14000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.312092,0.0440615,0.491108,0
15000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.306949,0.0333979,0.388269,0
16000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.268755,0.118988,0.411134,0
16000,Scleria_bourgeaui_SC313,Scleria_paupercula_SC382,39.602,0.648827,-0.110277,0.016984,0
17000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.321305,0.0194575,0.412167,0
17000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.7327,0.644799,-0.0278798,0.114764,0
18000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.280975,0.0198513,0.290358,0
