generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-577.159,1,0
1000,0,0.200465,-371.327,0.00309105,0.259
2000,0,0.369908,-370.719,0.0789288,0.237881
3000,0,-0.019776,-371.051,0.122917,0.221926
4000,0,-0.279405,-372.647,0.790049,0.196333
5000,0,0.118272,-370.883,0.40772,0.2155
6000,0,-0.334617,-371.885,0.498466,0.23825
7000,0,0.11561,-372.475,0.218037,0.168
8000,0,-0.270238,-373.035,0.45786,0.1765
9000,1,-3.44284,-379.088,0.55248,0.181
10000,0,0.171672,-370.82,0.282904,0.186667
11000,0,-1.41435,-372.42,1.98857,0.172
12000,0,-0.320025,-371.384,0.875423,0.1755
13000,0,0.529355,-372.888,0.152054,0.242
14000,0,-0.352104,-374.805,0.318475,0.212485
15000,0,-0.228459,-371.303,0.468012,0.183
16000,1,-5.02715,-370.336,0.733324,0.2042
17000,1,0.301551,-362.339,0.289949,0.417
18000,0,0.490811,-370.859,0.0168966,0.176333
19000,0,-0.533125,-372.291,0.409012,0.188
20000,0,-1.22923,-372.838,1.02854,0.186
21000,0,0.16814,-372.108,0.151978,0.205
22000,0,0.540913,-371.785,0.0802083,0.178
23000,0,-0.078833,-371.676,0.508334,0.188
24000,0,-0.0377639,-373.487,0.295393,0.171
25000,0,0.20055,-372.087,0.0599234,0.153
26000,0,-1.20438,-371.007,1.4904,0.198273
27000,0,-0.178689,-371.431,0.0226709,0.195143
28000,0,-0.0245735,-371.098,0.486068,0.244
29000,1,-0.0266529,-363.367,1.20866,0.40625
30000,1,-0.692333,-364.152,1.23469,0.395
31000,1,0.0758736,-362.371,1.05819,0.408
32000,1,-1.0688,-360.601,1.30655,0.393
33000,1,-2.17035,-359.716,1.23549,0.378
34000,1,-2.64192,-369.511,1.45628,0.207429
35000,1,-1.01817,-359.428,0.621078,0.240143
36000,1,0.397159,-362.505,0.273782,0.366
37000,1,-0.0657695,-361.923,0.663936,0.393
38000,1,-2.17715,-363.702,1.70757,0.397
